y_predict,y_true
2831.3406,2855.0
2831.3406,2843.0
2831.3406,2863.0
2831.3406,2854.0
2831.3406,2889.0
2831.3406,2885.0
2818.516,2896.0
2818.516,2906.0000000000005
2818.516,2901.9999999999995
2818.516,2887.0
2818.516,2863.0
2831.3406,2855.0
2831.3406,2841.9999999999995
2842.726,2839.9999999999995
2842.726,2834.0
2842.726,2869.0
2831.3406,2951.0
2831.3406,2924.0
2831.3406,2914.0
2831.3406,2919.0
2842.726,2917.0
2842.726,2949.0
2842.726,2970.0
2842.726,2967.0
2842.726,2991.0
2842.726,3008.0
2842.726,3014.0
2842.726,2985.0
2842.726,2967.0
2842.726,2994.0
2842.726,2986.0
2842.726,3030.0
2842.726,3044.0
2842.726,3022.0
2842.726,2991.0
2842.726,2988.0
2842.726,2963.9999999999995
2842.726,2967.0
2842.726,2972.0
2842.726,2992.9999999999995
2842.726,3000.0
2842.726,3010.0
2842.726,3007.0
2842.726,2998.0
2842.726,3010.0
2842.726,2984.0
2842.726,2955.0
2842.726,2943.0
2842.726,2936.0
2842.726,2944.0
2842.726,2922.0
2842.726,2935.0000000000005
2842.726,2875.0000000000005
2842.726,2875.0000000000005
2842.726,2891.0
2842.726,2881.0
2842.726,2896.0
2831.3406,2851.0
2818.516,2867.0
2782.1694,2886.0
2783.3604,2888.0
2789.122,2880.0
2789.122,2887.0
2789.122,2905.0
2789.122,2901.9999999999995
2789.122,2900.0
2783.3604,2857.0
2818.516,2829.0
2818.516,2786.0
2782.1694,2797.0
2789.122,2815.0000000000005
2797.5752,2810.9999999999995
2797.4539,2779.9999999999995
2784.5735,2704.0
2769.3208,2719.0
2738.7173,2691.0000000000005
2718.713,2688.0
2662.859,2717.9999999999995
2626.4358,2726.0
2675.244,2743.0
2680.2021,2711.0
2658.9614,2705.0
2645.3445,2707.0
2684.353,2682.0
2628.6946,2681.0
2615.1814,2612.0
2614.5088,2620.0
2672.8125,2618.0
2662.127,2564.0
2667.542,2599.0
2653.3901,2625.0
2596.4885,2647.0
2608.2969,2672.0
2632.0942,2670.0
2573.7744,2667.0
2650.8296,2684.0
2586.9976,2685.0
2622.934,2657.9999999999995
2663.9487,2688.0
2616.151,2685.0
2620.384,2705.0
2619.17,2722.0000000000005
2666.3647,2707.0
2679.6458,2757.0
2614.06,2717.9999999999995
2636.835,2755.0
2665.118,2725.0
2636.835,2686.9999999999995
2695.0176,2686.0
2700.759,2688.0
2670.8596,2737.0
2665.118,2755.0
2621.1025,2726.0
2621.1025,2759.0
2647.6797,2806.0
2647.6797,2792.0
2621.1025,2797.0
2687.0918,2799.0
2662.7063,2790.0
2662.7063,2801.0
2718.713,2827.0
2738.7173,2797.0
2738.7173,2805.0
2738.7173,2817.0
2797.0295,2839.0
2769.3208,2839.0
2769.3208,2831.0
2755.4294,2835.0
2755.4294,2848.0
2755.4294,2834.0
2768.0752,2849.0
2793.5742,2846.0000000000005
2793.5742,2828.0
2793.5742,2782.0000000000005
2793.5742,2777.0
2755.4294,2755.0
2755.4294,2766.0
2769.3208,2773.0
2738.7173,2804.0
2718.713,2827.0
2701.0767,2839.9999999999995
2662.7063,2841.9999999999995
2662.7063,2870.0
2675.9158,2855.0
2738.7173,2855.0
2738.7173,2853.0
2769.3208,2855.0
2755.4294,2878.0
2793.5742,2880.0
2793.5742,2856.0
2793.5742,2870.9999999999995
2793.5742,2872.9999999999995
2768.0752,2857.0
2755.4294,2885.0
2769.3208,2882.0
2769.3208,2857.0
2797.0295,2839.9999999999995
2797.0295,2867.0
2738.7173,2887.0
2797.0295,2892.0
2797.0295,2870.9999999999995
2738.7173,2875.0000000000005
2738.7173,2881.0
2738.7173,2851.0
2797.0295,2839.9999999999995
2755.4294,2828.0
2793.5742,2814.0
2793.5742,2816.0
2793.5742,2853.0
2793.5742,2856.0
2793.5742,2879.0
2793.5742,2889.0
2784.5735,2934.0
2785.6877,2936.0
2797.4539,2912.0
2789.6833,2908.0
2789.122,2887.0
2789.122,2886.0
2782.1694,2834.0
2818.516,2828.0
2818.516,2808.0
2818.516,2829.0
2818.516,2817.0
2782.1694,2810.9999999999995
2789.122,2816.0
2797.5752,2787.0
2805.4265,2791.0
2797.4539,2817.0
2785.6877,2787.0
2784.5735,2761.0
2793.5742,2745.0
2768.0752,2754.0
2755.4294,2752.0
2769.3208,2776.0
2756.7424,2788.0
2797.0295,2822.0
2797.0295,2816.0
2797.0295,2824.0
2738.7173,2839.9999999999995
2738.7173,2875.0000000000005
2755.4294,2878.0
2784.5735,2886.0
2797.4539,2890.0
2789.122,2874.0
2818.516,2872.9999999999995
2831.3406,2880.0
2831.3406,2877.0
2842.726,2880.0
2842.726,2884.0
2842.726,2898.0
2831.3406,2874.0
2831.3406,2859.0
2818.516,2892.0
2818.516,2841.9999999999995
2818.516,2830.0
2818.516,2834.0
2818.516,2837.0
2818.516,2788.0
2782.1694,2794.0
2789.122,2786.0
2789.6833,2771.0
2799.1348,2769.0
2793.5742,2793.0
2755.4294,2853.0
2755.4294,2846.0000000000005
2769.3208,2856.0
2769.3208,2868.0
2755.4294,2877.0
2793.5742,2875.0000000000005
2784.5735,2877.0
2799.1348,2863.0
2789.6833,2867.0
2789.122,2844.0000000000005
2789.122,2837.0
