Feature,SHAP_Importance,XGB_Gain,Permutation_Importance
Prediction_Difference,0.00433297,0.2023649513721466,-0.006523522031105245
Average_Prediction,0.0034401803,0.3034147322177887,0.0
LSTM_Prediction,0.0025504313,0.2608402669429779,0.0
GRU_Prediction,0.0022488635,0.32796648144721985,0.0
corn_t-0,0.0014251447,0.0568353570997715,0.0
ine_t-3,0.0013653823,0.005761658772826195,0.0
ine_t-0,0.0013060538,0.02057500369846821,0.0
corn_t-1,0.0006246751,0.08733390271663666,0.0
TR_t-2,0.00040572352,0.10491488873958588,0.0
ine_t-1,0.00039270203,0.013519542291760445,0.0
ine_t-2,0.0003434574,0.009740273468196392,0.0
CFD_t-3,0.00029846616,0.009284088388085365,0.0
CFD_t-4,0.00025138893,0.009602176956832409,0.0
ine_t-4,0.00023765594,0.006670051719993353,0.0
corn_t-2,0.0001458421,0.09272168576717377,0.0
Corn_lag_1_t-0,0.00014113719,0.10418476909399033,0.0
CFD_t-2,0.000139991,0.008756761439144611,0.0
FP.CFI_t-4,0.00013032393,0.031031273305416107,0.0
TR_t-0,0.00012479261,0.04210437461733818,-5.627602752156235e-06
EPU_t-0,0.000119352146,0.027049876749515533,0.0
ER_t-2,9.648717e-05,0.02497507631778717,-0.0007241386173660658
TR_t-4,9.526272e-05,0.03912266716361046,0.0
TR_t-1,9.148e-05,0.0823429524898529,0.0
ER_t-4,8.407458e-05,0.03031512163579464,-0.00048009331999026016
CFD_t-1,7.188227e-05,0.008337773382663727,0.0
IR_t-4,6.471411e-05,0.032472845166921616,0.0
Corn_lag_2_t-4,5.515486e-05,0.004959406331181526,0.0006071526776111113
ER_t-3,4.737256e-05,0.12580060958862305,0.00024911768329047843
FP.CFI_t-2,4.201254e-05,0.026109416037797928,0.0
GPR_t-1,3.097544e-05,0.00401274673640728,2.722814983258104e-05
Corn_lag_1_t-2,2.8727047e-05,0.18115279078483582,0.0
TR_t-3,2.7355563e-05,0.08615007996559143,0.0
ER_t-1,2.3434328e-05,0.029886916279792786,0.0
CFD_t-0,2.0235784e-05,0.00954599678516388,0.0
FP.CFI_t-1,1.2155852e-05,0.006775360554456711,0.0
IR_t-3,1.1402487e-05,0.0059845931828022,0.0
corn_t-3,9.441736e-06,0.001833587884902954,0.0
corn_t-4,8.096565e-06,0.004056781530380249,0.0
FP.CFI_t-3,8.028062e-06,0.019576484337449074,0.0
Corn_lag_1_t-4,5.709463e-06,0.006669055670499802,0.0
EPU_t-4,1.6061441e-06,0.0014499835669994354,0.0
Corn_lag_3_t-2,0.0,0.0,0.0
IR_t-2,0.0,0.0,0.0
Corn_lag_3_t-4,0.0,0.0,0.0
FP.CFI_t-0,0.0,0.0,0.0
GPR_t-2,0.0,0.0,0.0
GPR_t-0,0.0,0.0,0.0
Corn_lag_3_t-3,0.0,0.0,0.0
Corn_lag_2_t-0,0.0,0.0,0.0
IR_t-0,0.0,0.0,0.0
Corn_lag_3_t-0,0.0,0.0,0.0
Corn_lag_4_t-0,0.0,0.0,0.0
Corn_lag_5_t-0,0.0,0.0,0.0
GPR_t-4,0.0,0.0,0.0
Corn_lag_2_t-3,0.0,0.0,0.0
ER_t-0,0.0,0.0,0.0
Corn_lag_4_t-4,0.0,0.0,0.0
Corn_lag_4_t-2,0.0,0.0,0.0
Corn_lag_4_t-3,0.0,0.0,0.0
Corn_lag_5_t-2,0.0,0.0,0.0
Corn_lag_5_t-3,0.0,0.0,0.0
IR_t-1,0.0,0.0,0.0
Corn_lag_2_t-2,0.0,0.0,0.0
EPU_t-3,0.0,0.0,0.0
EPU_t-2,0.0,0.0,0.0
Corn_lag_1_t-3,0.0,0.0,0.0
Corn_lag_5_t-1,0.0,0.0,0.0
EPU_t-1,0.0,0.0,0.0
Corn_lag_5_t-4,0.0,0.0,0.0
Corn_lag_1_t-1,0.0,0.0,0.0
GPR_t-3,0.0,0.0,0.0
Corn_lag_3_t-1,0.0,0.0,0.0
Corn_lag_4_t-1,0.0,0.0,0.0
Corn_lag_2_t-1,0.0,0.0,0.0
